"","kingdom","phylum","class","order","family","genus","species"
"95","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Auriculariaceae","Auricularia","unidentified"
"96","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Auxarthron","Auxarthron concentricum"
"97","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Barnettozyma","Barnettozyma californica"
"98","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Bartalinia","Bartalinia robillardoides"
"99","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Basidioascus","Basidioascus undulatus"
"100","Fungi","Basidiomycota","Microbotryomycetes","Microbotryales","Ustilentylomataceae","Bauerago","Bauerago abstrusa"
"101","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","Beauveria bassiana"
"102","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","Beauveria felina"
"103","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria","unidentified"
"104","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","unidentified"
"105","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys","Blastobotrys raffinosifermentans"
"106","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys","Blastobotrys serpentis"
"107","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bloxamia","unidentified"
"108","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Blumeria","Blumeria graminis"
